_id,name,username,password,role,department,email,semester,section,batch
69074ffbeac7e013e1364b4c,admin,admin,12345,admin,IT,admin@college.edu,,,
69074ffbeac7e013e1364b4d,Faculty_A,F001,12345,faculty,IT,faculty1@college.edu,,,
69074ffbeac7e013e1364b4e,Faculty_B,F002,12345,faculty,IT,faculty2@college.edu,,,
69074ffbeac7e013e1364b4f,Faculty_C,F003,12345,faculty,IT,faculty3@college.edu,,,
69074ffbeac7e013e1364b50,Faculty_D,F004,12345,faculty,IT,faculty4@college.edu,,,
69074ffbeac7e013e1364b51,Faculty_E,F005,12345,faculty,IT,faculty5@college.edu,,,
69074ffbeac7e013e1364b52,Faculty_F,F006,12345,faculty,IT,faculty6@college.edu,,,
69074ffbeac7e013e1364b53,Faculty_G,F007,12345,faculty,IT,faculty7@college.edu,,,
69074ffbeac7e013e1364b54,Faculty_H,F008,12345,faculty,IT,faculty8@college.edu,,,
69074ffbeac7e013e1364b55,Faculty_I,F009,12345,faculty,IT,faculty9@college.edu,,,
69074ffbeac7e013e1364b56,Faculty_J,F010,12345,faculty,IT,faculty10@college.edu,,,
6907500aeac7e013e1364b57,Student_1A,2025001,12345,student,IT,student1a@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b58,Student_1B,2025002,12345,student,IT,student1b@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b59,Student_1C,2025003,12345,student,IT,student1c@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5a,Student_1D,2025004,12345,student,IT,student1d@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5b,Student_1E,2025005,12345,student,IT,student1e@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5c,Student_1F,2025006,12345,student,IT,student1f@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5d,Student_1G,2025007,12345,student,IT,student1g@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5e,Student_1H,2025008,12345,student,IT,student1h@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b5f,Student_1I,2025009,12345,student,IT,student1i@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b60,Student_1J,2025010,12345,student,IT,student1j@college.edu,1,IT-1,Batch-2
6907500aeac7e013e1364b61,Student_2A,2025011,12345,student,IT,student2a@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b62,Student_2B,2025012,12345,student,IT,student2b@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b63,Student_2C,2025013,12345,student,IT,student2c@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b64,Student_2D,2025014,12345,student,IT,student2d@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b65,Student_2E,2025015,12345,student,IT,student2e@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b66,Student_2F,2025016,12345,student,IT,student2f@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b67,Student_2G,2025017,12345,student,IT,student2g@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b68,Student_2H,2025018,12345,student,IT,student2h@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b69,Student_2I,2025019,12345,student,IT,student2i@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b6a,Student_2J,2025020,12345,student,IT,student2j@college.edu,1,IT-2,Batch-2
6907500aeac7e013e1364b6b,Student_3A,2025021,12345,student,IT,student3a@college.edu,1,IT-3,Batch-2
